Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,87735,0,,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,68745,22620,2560000,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,45000,0,1320000,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,38745,35370,2400000,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,90000,0,2820000,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,81255,62940,5340000,360,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,34995,22740,1900000,360,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,45540,37560,3160000,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,60090,22890,3360000,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,192615,164520,6980000,360,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,48000,10500,1400000,360,1,Urban,Y
LP001027,Male,Yes,2,Graduate,,37500,27600,2180000,360,1,Urban,Y
LP001028,Male,Yes,2,Graduate,No,46095,121590,4000000,360,1,Urban,Y
LP001029,Male,No,0,Graduate,No,27795,42600,2280000,360,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,19485,16290,340000,120,1,Urban,Y
LP001032,Male,No,0,Graduate,No,74250,0,2500000,360,1,Urban,Y
LP001034,Male,No,1,Not Graduate,No,53940,0,2000000,240,,Urban,Y
LP001036,Female,No,0,Graduate,No,52650,0,1520000,360,0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,73305,0,2660000,360,1,Rural,N
LP001041,Male,Yes,0,Graduate,,39000,52500,2300000,,1,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,114900,0,2080000,360,0,Urban,N
LP001046,Male,Yes,1,Graduate,No,89325,84375,6300000,360,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,39000,28665,2320000,360,0,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,50475,28755,2240000,360,0,Rural,N
LP001052,Male,Yes,1,Graduate,,55755,43875,3020000,360,,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,143400,0,3820000,360,1,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,41985,33795,2440000,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,63390,15600,2200000,360,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,21630,0,700000,360,1,Urban,N
LP001087,Female,No,2,Graduate,,56250,31245,2400000,360,1,Semiurban,Y
LP001091,Male,Yes,1,Graduate,,62490,50535,4020000,360,,Urban,N
LP001095,Male,No,0,Graduate,No,47505,0,1480000,360,1,Urban,N
LP001097,Male,No,1,Graduate,Yes,70380,0,2120000,360,1,Rural,N
LP001098,Male,Yes,0,Graduate,No,52500,25005,2280000,360,1,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,187500,45000,6400000,360,1,Rural,N
LP001106,Male,Yes,0,Graduate,No,34125,31005,,360,1,Urban,Y
LP001109,Male,Yes,0,Graduate,No,27420,19950,2000000,,0,Urban,N
LP001112,Female,Yes,0,Graduate,No,55005,21885,2880000,360,1,Semiurban,Y
LP001114,Male,No,0,Graduate,No,62490,108150,3680000,360,1,Urban,Y
LP001116,Male,No,0,Not Graduate,No,56220,25020,2200000,360,1,Semiurban,Y
LP001119,Male,No,0,Graduate,No,54000,0,1600000,360,1,Urban,N
LP001120,Male,No,0,Graduate,No,27000,18195,940000,360,1,Urban,Y
LP001123,Male,Yes,0,Graduate,No,36000,0,1500000,360,,Urban,Y
LP001131,Male,Yes,0,Graduate,No,59115,35040,2680000,360,1,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,70425,0,1920000,,1,Urban,Y
LP001137,Female,No,0,Graduate,No,51150,0,1760000,,1,Urban,Y
LP001138,Male,Yes,1,Graduate,No,84735,0,880000,360,1,Urban,Y
LP001144,Male,Yes,0,Graduate,No,87315,0,2880000,360,1,Urban,Y
LP001146,Female,Yes,0,Graduate,No,39675,51600,2400000,360,0,Urban,N
LP001151,Female,No,0,Graduate,No,60000,34125,2880000,360,1,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,28920,24660,2000000,360,1,Semiurban,Y
LP001157,Female,No,0,Graduate,No,46290,0,2400000,360,1,Semiurban,Y
LP001164,Female,No,0,Graduate,No,63450,0,2240000,360,1,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,69240,0,2680000,360,1,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,172500,0,5720000,360,0,Urban,N
LP001194,Male,Yes,2,Graduate,No,40620,17505,1940000,360,1,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,31980,23865,1920000,360,1,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,50490,33000,2700000,360,1,Rural,N
LP001198,Male,Yes,1,Graduate,No,121200,33750,3600000,360,1,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,50355,42885,2880000,360,1,Urban,Y
LP001205,Male,Yes,0,Graduate,No,37500,56940,2400000,360,1,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,45435,0,1980000,360,1,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,39135,51735,3300000,180,0,Rural,N
LP001213,Male,Yes,1,Graduate,No,74175,0,,360,0,Rural,N
LP001222,Female,No,0,Graduate,No,62490,0,2320000,360,0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,85890,68925,5160000,360,1,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,48000,33810,2520000,180,0,Urban,N
LP001233,Male,Yes,1,Graduate,No,161250,0,6240000,360,1,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,106500,0,2500000,60,1,Urban,Y
LP001241,Female,No,0,Graduate,No,64500,0,2720000,360,0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,48120,45990,3440000,360,1,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,28125,28125,1940000,360,1,Semiurban,Y
LP001248,Male,No,0,Graduate,No,52500,0,1620000,300,1,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,71325,0,1900000,,0,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,78990,26610,3740000,360,1,Semiurban,Y
LP001255,Male,No,0,Graduate,No,56250,0,2260000,480,1,Urban,N
LP001256,Male,No,0,Graduate,No,56250,71250,3520000,360,1,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,15000,45330,2200000,360,1,Urban,N
LP001263,Male,Yes,3+,Graduate,No,47505,60000,3600000,300,0,Semiurban,N
LP001264,Male,Yes,3+,Not Graduate,Yes,49995,32490,2600000,360,,Semiurban,Y
LP001265,Female,No,0,Graduate,No,57690,0,2220000,360,1,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,35925,0,,360,1,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,20670,28215,3340000,360,1,Urban,N
LP001273,Male,Yes,0,Graduate,No,90000,33750,5300000,360,,Semiurban,N
LP001275,Male,Yes,1,Graduate,No,59820,0,1000000,240,1,Urban,Y
LP001279,Male,No,0,Graduate,No,35490,37965,2720000,360,1,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,49995,30000,1980000,360,,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,37500,31770,2080000,360,1,Semiurban,Y
LP001289,Male,No,0,Graduate,No,128490,0,4200000,360,1,Urban,Y
LP001310,Male,Yes,0,Graduate,No,85425,62505,3500000,360,1,Semiurban,Y
LP001316,Male,Yes,0,Graduate,No,44370,43500,2620000,360,1,Semiurban,Y
LP001318,Male,Yes,2,Graduate,No,93750,84810,3760000,180,1,Semiurban,Y
LP001319,Male,Yes,2,Not Graduate,No,49095,27300,1620000,360,1,Urban,Y
LP001322,Male,No,0,Graduate,No,61995,0,2440000,360,1,Semiurban,Y
LP001325,Male,No,0,Not Graduate,No,54300,0,500000,120,1,Semiurban,Y
LP001326,Male,No,0,Graduate,,101730,0,,360,,Urban,N
LP001327,Female,Yes,0,Graduate,No,37260,34530,2740000,360,1,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,29655,14955,1000000,360,1,Semiurban,Y
LP001334,Male,Yes,0,Not Graduate,No,62820,0,2300000,180,1,Semiurban,Y
LP001343,Male,Yes,0,Graduate,No,26385,53115,2620000,360,1,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,64320,48945,2660000,180,1,Urban,Y
LP001349,Male,No,0,Graduate,No,72645,57090,3020000,360,1,Semiurban,Y
LP001350,Male,Yes,,Graduate,No,204750,0,,360,1,Urban,Y
LP001356,Male,Yes,0,Graduate,No,69780,53745,,360,1,Semiurban,Y
LP001357,Male,,,Graduate,No,57240,11310,3200000,360,1,Urban,Y
LP001367,Male,Yes,1,Graduate,No,45780,15450,2000000,360,1,Urban,Y
LP001369,Male,Yes,2,Graduate,No,171255,16890,4500000,360,1,Urban,Y
LP001370,Male,No,0,Not Graduate,,109995,0,2400000,360,1,Rural,N
LP001379,Male,Yes,2,Graduate,No,57000,54000,4320000,360,0,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,31065,11310,1880000,480,1,Semiurban,Y
LP001385,Male,No,0,Graduate,No,79740,0,2720000,360,1,Urban,Y
LP001387,Female,Yes,0,Graduate,,43935,34995,2780000,360,1,Semiurban,Y
LP001391,Male,Yes,0,Not Graduate,No,53580,61710,3040000,,0,Rural,N
LP001392,Female,No,1,Graduate,Yes,111765,0,,360,1,Semiurban,Y
LP001398,Male,No,0,Graduate,,75750,0,2360000,360,1,Semiurban,Y
LP001401,Male,Yes,1,Graduate,No,218745,0,3700000,180,1,Rural,Y
LP001404,Female,Yes,0,Graduate,No,47505,34245,3080000,360,1,Semiurban,Y
LP001405,Male,Yes,1,Graduate,No,33210,20970,1700000,360,,Urban,Y
LP001421,Male,Yes,0,Graduate,No,83520,32130,3500000,360,1,Rural,N
LP001422,Female,No,0,Graduate,No,156120,0,5180000,360,1,Urban,Y
LP001426,Male,Yes,,Graduate,No,85005,40005,3600000,360,1,Rural,Y
LP001430,Female,No,0,Graduate,No,62490,0,880000,360,1,Semiurban,Y
LP001431,Female,No,0,Graduate,No,32055,134700,2740000,360,0,Semiurban,Y
LP001432,Male,Yes,2,Graduate,No,44355,0,1620000,360,1,Semiurban,Y
LP001439,Male,Yes,0,Not Graduate,No,64500,30210,3880000,360,1,Rural,Y
LP001443,Female,No,0,Graduate,No,55380,0,1860000,360,,Rural,Y
LP001448,,Yes,3+,Graduate,No,357045,0,7400000,360,1,Rural,Y
LP001449,Male,No,0,Graduate,No,57975,24600,,360,1,Rural,Y
LP001451,Male,Yes,1,Graduate,Yes,157695,57750,3200000,180,0,Urban,N
LP001465,Male,Yes,0,Graduate,No,91200,38535,3640000,360,,Rural,N
LP001469,Male,No,0,Graduate,Yes,302490,0,13000000,480,,Urban,Y
LP001473,Male,No,0,Graduate,No,30210,28935,1480000,360,1,Urban,Y
LP001478,Male,No,0,Graduate,No,40770,0,1400000,360,1,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,51885,0,500000,120,1,Semiurban,Y
LP001487,Male,No,0,Graduate,No,73425,0,2040000,360,1,Semiurban,Y
LP001488,Male,Yes,3+,Graduate,No,60000,116250,5800000,360,1,Semiurban,N
LP001489,Female,Yes,0,Graduate,No,68745,0,1680000,360,1,Rural,N
LP001491,Male,Yes,2,Graduate,Yes,49740,52500,1760000,360,1,Urban,Y
LP001492,Male,No,0,Graduate,No,224985,0,4840000,360,0,Semiurban,N
LP001493,Male,Yes,2,Not Graduate,No,63000,21450,2580000,360,1,Rural,N
LP001497,Male,Yes,2,Graduate,No,75630,31245,3700000,360,1,Rural,N
LP001498,Male,No,0,Graduate,No,81255,0,3360000,360,1,Urban,Y
LP001504,Male,No,0,Graduate,Yes,104250,0,3500000,180,1,Semiurban,Y
LP001507,Male,Yes,0,Graduate,No,40470,30510,2440000,360,1,Semiurban,Y
LP001508,Male,Yes,2,Graduate,No,176355,0,3740000,180,1,Urban,Y
LP001514,Female,Yes,0,Graduate,No,34950,67290,2000000,360,1,Semiurban,Y
LP001516,Female,Yes,2,Graduate,No,222990,0,1400000,360,1,Urban,Y
LP001518,Male,Yes,1,Graduate,No,23070,21375,600000,360,1,Urban,Y
LP001519,Female,No,0,Graduate,No,150000,24990,4500000,360,1,Rural,N
LP001520,Male,Yes,0,Graduate,No,72900,12450,2500000,360,1,Semiurban,Y
LP001528,Male,No,0,Graduate,No,94155,0,2360000,360,0,Rural,N
LP001529,Male,Yes,0,Graduate,Yes,38655,56250,3040000,360,1,Rural,Y
LP001531,Male,No,0,Graduate,No,137490,0,4880000,360,1,Urban,N
LP001532,Male,Yes,2,Not Graduate,No,34215,0,2260000,360,1,Rural,N
LP001535,Male,No,0,Graduate,No,48810,0,1000000,360,1,Urban,Y
LP001536,Male,Yes,3+,Graduate,No,599985,0,12000000,180,0,Semiurban,Y
LP001541,Male,Yes,1,Graduate,No,90000,0,3200000,360,,Rural,Y
LP001543,Male,Yes,1,Graduate,No,143070,0,3740000,360,1,Urban,Y
LP001546,Male,No,0,Graduate,,44700,31245,2400000,360,1,Rural,Y
LP001552,Male,Yes,0,Graduate,No,68745,84375,5100000,360,1,Semiurban,Y
LP001560,Male,Yes,0,Not Graduate,No,27945,15615,1960000,360,1,Semiurban,Y
LP001562,Male,Yes,0,Graduate,No,118995,0,5500000,360,1,Urban,N
LP001565,Male,Yes,1,Graduate,No,46335,19200,2420000,360,0,Semiurban,N
LP001570,Male,Yes,2,Graduate,No,62505,21705,3160000,360,1,Rural,Y
LP001572,Male,Yes,0,Graduate,No,139845,0,1500000,180,1,Urban,Y
LP001574,Male,Yes,0,Graduate,No,55605,47490,3640000,,1,Rural,Y
LP001577,Female,Yes,0,Graduate,No,68745,0,2240000,360,1,Rural,N
LP001578,Male,Yes,0,Graduate,No,36585,49995,2580000,360,1,Rural,Y
LP001579,Male,No,0,Graduate,No,33555,0,1260000,480,0,Semiurban,N
LP001580,Male,Yes,2,Graduate,No,120000,0,4000000,360,1,Semiurban,Y
LP001581,Male,Yes,0,Not Graduate,,27300,26535,1900000,360,1,Rural,Y
LP001585,,Yes,3+,Graduate,No,776445,0,14000000,300,1,Urban,Y
LP001586,Male,Yes,3+,Not Graduate,No,52830,0,1620000,180,1,Rural,N
LP001594,Male,Yes,0,Graduate,No,85620,84375,3740000,360,1,Semiurban,Y
LP001603,Male,Yes,0,Not Graduate,Yes,65160,11040,1740000,360,1,Semiurban,N
LP001606,Male,Yes,0,Graduate,No,52455,29460,2320000,360,1,Rural,Y
LP001608,Male,Yes,2,Graduate,No,30675,24285,2020000,360,1,Rural,Y
LP001610,Male,Yes,3+,Graduate,No,82740,169500,9900000,360,0,Semiurban,N
LP001616,Male,Yes,1,Graduate,No,56250,0,2320000,360,1,Semiurban,Y
LP001630,Male,No,0,Not Graduate,No,34995,21765,2040000,480,0,Urban,N
LP001633,Male,Yes,1,Graduate,No,96000,108750,3600000,360,0,Urban,N
LP001634,Male,No,0,Graduate,No,28740,75945,1340000,360,,Rural,N
LP001636,Male,Yes,0,Graduate,No,69000,0,1460000,180,1,Semiurban,Y
LP001637,Male,Yes,1,Graduate,No,507690,0,5200000,360,1,Semiurban,N
LP001639,Female,Yes,0,Graduate,No,54375,0,2160000,360,1,Semiurban,Y
LP001640,Male,Yes,0,Graduate,Yes,587205,71250,2400000,360,1,Semiurban,Y
LP001641,Male,Yes,1,Graduate,Yes,32670,0,1320000,300,0,Rural,N
LP001643,Male,Yes,0,Graduate,No,35745,32070,1160000,360,,Rural,Y
LP001644,,Yes,0,Graduate,Yes,10110,79440,3360000,360,1,Rural,Y
LP001647,Male,Yes,0,Graduate,No,139920,0,3760000,180,1,Rural,Y
LP001653,Male,No,0,Not Graduate,No,73275,0,960000,360,1,Rural,Y
LP001656,Male,No,0,Graduate,No,180000,0,3280000,360,1,Semiurban,N
LP001657,Male,Yes,0,Not Graduate,No,90495,0,3200000,360,1,Urban,N
LP001658,Male,No,0,Graduate,No,57870,0,1520000,360,1,Semiurban,Y
LP001664,Male,No,0,Graduate,No,62865,0,2400000,360,1,Rural,Y
LP001665,Male,Yes,1,Graduate,No,46875,38745,3400000,360,1,Semiurban,N
LP001666,Male,No,0,Graduate,No,124995,56250,3740000,360,1,Rural,Y
LP001669,Female,No,0,Not Graduate,No,28605,35475,2400000,,1,Urban,Y
LP001671,Female,Yes,0,Graduate,No,51240,42240,2260000,360,,Semiurban,Y
LP001673,Male,No,0,Graduate,Yes,165000,0,1660000,360,1,Urban,N
LP001674,Male,Yes,1,Not Graduate,No,39000,37500,1800000,360,1,Semiurban,Y
LP001677,Male,No,2,Graduate,No,73845,0,3320000,360,0,Semiurban,Y
LP001682,Male,Yes,3+,Not Graduate,No,59880,0,,180,1,Urban,N
LP001688,Male,Yes,1,Not Graduate,No,52500,16245,2700000,360,1,Urban,Y
LP001691,Male,Yes,2,Not Graduate,No,58755,0,2480000,360,1,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,66120,0,2400000,360,1,Semiurban,Y
LP001693,Female,No,0,Graduate,No,48660,0,1600000,360,1,Urban,Y
LP001698,Male,No,0,Not Graduate,No,59625,37965,1100000,360,1,Rural,Y
LP001699,Male,No,0,Graduate,No,37185,0,1180000,360,1,Urban,Y
LP001702,Male,No,0,Graduate,No,51270,0,2540000,360,1,Semiurban,N
LP001708,Female,No,0,Graduate,No,150000,0,4280000,360,1,Semiurban,N
LP001711,Male,Yes,3+,Graduate,No,51450,18750,2560000,360,0,Semiurban,N
LP001713,Male,Yes,1,Graduate,Yes,116805,0,4800000,360,1,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,85545,0,2600000,360,1,Rural,Y
LP001716,Male,Yes,0,Graduate,No,47595,45315,2740000,360,1,Urban,Y
LP001720,Male,Yes,3+,Not Graduate,No,57750,14745,2000000,360,1,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,2250,27000,2700000,360,1,Rural,N
LP001726,Male,Yes,0,Graduate,No,55905,26625,2620000,360,1,Semiurban,Y
LP001732,Male,Yes,2,Graduate,,75000,0,1440000,360,0,Semiurban,N
LP001734,Female,Yes,2,Graduate,No,64245,35745,2540000,360,,Semiurban,Y
LP001736,Male,Yes,0,Graduate,No,33315,0,1200000,360,0,Urban,N
LP001743,Male,Yes,2,Graduate,No,60135,25755,2320000,360,1,Semiurban,Y
LP001744,Male,No,0,Graduate,No,44565,41865,2880000,360,1,Semiurban,Y
LP001749,Male,Yes,0,Graduate,No,113670,15150,3500000,,1,Semiurban,Y
LP001750,Male,Yes,0,Graduate,No,93750,0,2560000,360,1,Semiurban,Y
LP001751,Male,Yes,0,Graduate,No,48750,0,3400000,360,1,Rural,N
LP001754,Male,Yes,,Not Graduate,Yes,71025,0,2760000,360,1,Urban,N
LP001758,Male,Yes,2,Graduate,No,93750,25425,4200000,360,1,Semiurban,Y
LP001760,Male,,,Graduate,No,71370,0,3160000,480,1,Semiurban,Y
LP001761,Male,No,0,Graduate,Yes,96000,0,4000000,360,1,Rural,Y
LP001765,Male,Yes,1,Graduate,No,37365,30810,2080000,360,1,Semiurban,Y
LP001768,Male,Yes,0,Graduate,,55740,0,840000,180,1,Rural,Y
LP001770,Male,No,0,Not Graduate,No,47835,38970,2400000,,1,Rural,Y
LP001776,Female,No,0,Graduate,No,124995,0,5600000,360,1,Semiurban,Y
LP001778,Male,Yes,1,Graduate,No,47325,26685,2800000,360,1,Semiurban,Y
LP001784,Male,Yes,1,Graduate,No,82500,18900,3400000,360,1,Rural,Y
LP001786,Male,Yes,0,Graduate,,86190,0,5100000,360,,Urban,N
LP001788,Female,No,0,Graduate,Yes,51945,0,2440000,360,,Urban,Y
LP001790,Female,No,1,Graduate,No,57180,0,2240000,360,1,Rural,Y
LP001792,Male,Yes,1,Graduate,No,49725,0,1920000,360,1,Semiurban,Y
LP001798,Male,Yes,2,Graduate,No,87285,75000,2400000,360,1,Rural,Y
LP001800,Male,Yes,1,Not Graduate,No,37650,29745,2800000,180,1,Urban,N
LP001806,Male,No,0,Graduate,No,44475,85515,3100000,60,1,Urban,Y
LP001807,Male,Yes,2,Graduate,Yes,93750,19500,2160000,360,1,Rural,Y
LP001811,Male,Yes,0,Not Graduate,No,51090,66255,2460000,360,1,Semiurban,Y
LP001813,Male,No,0,Graduate,Yes,90750,64995,2400000,180,1,Urban,N
LP001814,Male,Yes,2,Graduate,No,145545,0,2240000,360,1,Urban,Y
LP001819,Male,Yes,1,Not Graduate,No,99120,0,2740000,180,1,Urban,Y
LP001824,Male,Yes,1,Graduate,No,43230,27645,2460000,480,1,Semiurban,Y
LP001825,Male,Yes,0,Graduate,No,27135,28020,1800000,360,1,Urban,Y
LP001835,Male,Yes,0,Not Graduate,No,25020,58350,4020000,360,0,Semiurban,N
LP001836,Female,No,2,Graduate,No,51405,0,2760000,360,1,Urban,N
LP001841,Male,No,0,Not Graduate,Yes,38745,32505,2080000,360,1,Rural,Y
LP001843,Male,Yes,1,Not Graduate,No,39915,106515,5580000,180,1,Semiurban,Y
LP001844,Male,No,0,Graduate,Yes,243750,0,3840000,360,0,Urban,N
LP001846,Female,No,3+,Graduate,No,46245,0,5100000,360,1,Rural,Y
LP001849,Male,No,0,Not Graduate,No,90675,0,2300000,360,0,Rural,N
LP001854,Male,Yes,3+,Graduate,No,78750,0,1880000,360,1,Urban,N
LP001859,Male,Yes,0,Graduate,No,220245,31500,6080000,360,1,Rural,N
LP001864,Male,Yes,3+,Not Graduate,No,73965,0,2560000,360,,Semiurban,N
LP001865,Male,Yes,1,Graduate,No,91245,63750,6600000,360,,Urban,Y
LP001868,Male,No,0,Graduate,No,30900,33135,2680000,360,1,Semiurban,Y
LP001870,Female,No,1,Graduate,No,52215,0,3100000,36,1,Semiurban,N
LP001871,Female,No,0,Graduate,No,108000,0,2400000,360,1,Rural,Y
LP001872,Male,No,0,Graduate,Yes,77490,0,2560000,360,1,Semiurban,Y
LP001875,Male,No,0,Graduate,No,61425,51705,3020000,360,1,Rural,Y
LP001877,Male,Yes,2,Graduate,No,70620,20805,3000000,360,1,Semiurban,Y
LP001882,Male,Yes,3+,Graduate,No,64995,27165,3200000,360,0,Urban,Y
LP001883,Female,No,0,Graduate,,51270,0,2700000,360,1,Rural,N
LP001884,Female,No,1,Graduate,No,43140,23400,1800000,360,1,Urban,Y
LP001888,Female,No,0,Graduate,No,48555,0,600000,360,1,Urban,Y
LP001891,Male,Yes,0,Graduate,No,167190,0,2720000,360,1,Urban,Y
LP001892,Male,No,0,Graduate,No,42495,27855,2520000,360,1,Rural,Y
LP001894,Male,Yes,0,Graduate,No,39300,33345,3000000,360,1,Semiurban,Y
LP001896,Male,Yes,2,Graduate,No,58500,0,1800000,360,1,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,41250,27630,2300000,360,1,Semiurban,Y
LP001903,Male,Yes,0,Graduate,No,59895,49110,4140000,360,1,Semiurban,Y
LP001904,Male,Yes,0,Graduate,No,46545,19500,1600000,360,1,Urban,Y
LP001907,Male,Yes,0,Graduate,No,218745,0,8720000,360,1,Semiurban,Y
LP001908,Female,Yes,0,Not Graduate,No,61500,0,2480000,360,,Rural,Y
LP001910,Male,No,1,Not Graduate,Yes,60795,36390,3160000,360,0,Urban,N
LP001914,Male,Yes,0,Graduate,No,58905,12000,2240000,360,1,Semiurban,Y
LP001915,Male,Yes,2,Graduate,No,34515,14786.99982,1560000,180,1,Urban,Y
LP001917,Female,No,0,Graduate,No,27165,24990,1080000,360,1,Urban,Y
LP001922,Male,Yes,0,Graduate,No,310005,0,,360,1,Rural,N
LP001924,Male,No,0,Graduate,No,47370,45795,1780000,360,1,Rural,Y
LP001925,Female,No,0,Graduate,Yes,39000,25755,1980000,300,1,Semiurban,N
LP001926,Male,Yes,0,Graduate,No,55560,30000,2400000,360,1,Rural,Y
LP001931,Female,No,0,Graduate,No,61860,0,2300000,360,1,Semiurban,Y
LP001935,Male,No,0,Graduate,No,142620,0,3740000,360,1,Rural,Y
LP001936,Male,Yes,0,Graduate,No,46125,36240,2780000,360,1,Rural,Y
LP001938,Male,Yes,2,Graduate,No,66000,0,2540000,360,0,Semiurban,N
LP001940,Male,Yes,2,Graduate,No,47295,23400,2680000,360,1,Urban,Y
LP001945,Female,No,,Graduate,No,81255,0,2860000,480,0,Urban,N
LP001947,Male,Yes,0,Graduate,No,35745,50010,3440000,360,1,Semiurban,Y
LP001949,Male,Yes,3+,Graduate,,66240,18750,2200000,360,1,Urban,Y
LP001953,Male,Yes,1,Graduate,No,103125,0,4000000,360,1,Semiurban,Y
LP001954,Female,Yes,1,Graduate,No,69990,0,2700000,360,1,Urban,Y
LP001955,Female,No,0,Graduate,No,75000,38115,3020000,480,1,Rural,N
LP001963,Male,Yes,1,Graduate,No,30210,43875,2260000,360,1,Urban,N
LP001964,Male,Yes,0,Not Graduate,No,27000,44010,1860000,360,0,Urban,N
LP001972,Male,Yes,,Not Graduate,No,43125,26250,2100000,360,1,Semiurban,Y
LP001974,Female,No,0,Graduate,No,75000,0,2640000,360,1,Rural,Y
LP001977,Male,Yes,1,Graduate,No,24375,27045,1920000,360,1,Urban,Y
LP001978,Male,No,0,Graduate,No,60000,37500,2800000,360,1,Rural,Y
LP001990,Male,No,0,Not Graduate,No,30000,0,,360,1,Urban,N
